,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC12A8,965.054788446323,2.00614258360099,0.277020379615017,7.2418591960237,4.42575206847802e-13,9.97389283411929e-12
SLC15A1,706.166929167161,2.60943088660912,0.462354328633101,5.643790324887,1.66346643344016e-08,1.59025098576678e-07
SLC15A5,5.86586128259655,3.61423368766024,0.923609221271012,3.91316327774051,9.10948945386986e-05,0.000379527865797679
SLC1A6,1838.95700206623,6.41607621561022,0.769612323742881,8.33676387146026,7.63513175427945e-17,3.29736682259719e-15
SLC22A11,11.0970108542919,2.76022283710139,0.663254203881939,4.16163639965818,3.15975174498363e-05,0.000148037503662192
SLC22A31,16.8775628941159,3.10221447464255,0.629432840004821,4.92858693966269,8.28264764692225e-07,5.60031107116601e-06
SLC24A2,48.8942669152719,2.97998020588793,0.440451937750987,6.76573299031025,1.32635959572764e-11,2.33300557099541e-10
SLC24A3,502.04368233935,-2.38307101756378,0.36834190567236,-6.4697254938012,9.8181113802464e-11,1.46663819931837e-09
SLC25A23,1887.48101296668,-2.22103812633303,0.246661134164585,-9.00441058075665,2.16827374714725e-19,1.5279790679103e-17
SLC25A25,1149.06586720589,-2.7450375377613,0.211222097014887,-12.9959771091934,1.2895020976666e-38,2.86243675640031e-35
SLC28A2,29.7546921593197,2.63531698287031,0.592814160599229,4.44543527807514,8.77140860175052e-06,4.74087480257263e-05
SLC28A3,361.809758405742,2.50386604612859,0.523527435541631,4.78268353508187,1.72970331594998e-06,1.08928266133637e-05
SLC2A2,3.11951140052873,3.34647986623758,0.990522512282606,3.37849955426636,0.000728825506155762,0.00237953648854914
SLC2A4,247.848982369828,-4.81198732349324,0.473742566211797,-10.1573885622554,3.07194264485854e-24,5.92965068091913e-22
SLC30A10,13.2523604573321,3.11388635369336,0.683914306194865,4.55303584891838,5.28772582698934e-06,2.99813379074098e-05
SLC30A2,842.386689426157,2.18907371237988,0.602622920735613,3.63257625466304,0.000280605614556809,0.00102990797485649
SLC34A2,112.712195167481,3.67819856622091,0.773732657424103,4.75383652341405,1.99592444440891e-06,1.23790119326458e-05
SLC35D3,9.04610690572194,2.32057459372764,0.624829942334537,3.71392988155678,0.00020406535745609,0.000774199761546791
SLC38A4,751.694922859611,2.04403523622429,0.615857152882707,3.31900868027036,0.000903376212312612,0.0028748437418423
SLC39A4,2378.42067742741,2.00700277670968,0.25068183005559,8.00617570194306,1.18330630074698e-15,3.9678297981845e-14
SLC45A2,16.2106228319155,2.84457582486603,0.562221530066181,5.059528446965,4.20294574521347e-07,3.00667063010791e-06
